name,company,summary,locations_joined,city_guess,name_key,industry,role_family,seniority,core_skills,education_required,languages_required,employment_type,confidence,years_min,years_max
Nhân Viên Kinh Doanh (Thu Nhập Từ 15 – 25++ Triệu) - Đi Làm Ngay,Công Ty TNHH Alberta Việt Nam,"- Seek, introduce, consult on lubricant products to B2B business sectors, following company-assigned data.

- Develop, build, maintain distributor network.

- Plan sales deployment, control business efficiency and sales targets.

- Track, manage orders, and manage debt recovery.

- Report on plans, and operational results on a weekly/monthly/quarterly/annual basis.

- Perform other tasks as assigned by the Company.

- Minimum 1 year of experience in business or technical sales.

- Bachelor's degree.

- Age: 25-40 years old.

- Fluency in Vietnamese.

 -  Basic proficiency in Word, Excel, PowerPoint.
 -Male 



- The position is located in Hai Phong.
- Working hours : Monday - Friday (8:00 AM - 5:15 PM).  Weekends off.","Tòa nhà Thành Đạt 1, số 3 Lê Thánh Tông, phường Máy Tơ, Quận Ngô Quyền",Hà Nội,nhân viên kinh doanh (thu nhập từ 15  25++ triệu)  đi làm ngay,Others,Sales,Junior,"['B2B Sales', 'Business Development', 'Sales Management', 'Customer Relationship Management', 'Negotiation']",Bachelor,['Vietnamese'],Full-time,0.85,1.0,
Phó Giám Đốc Nhà Máy (Deputy Factory Director),Công Ty Cổ Phần Tập Đoàn Gỗ Minh Long,"* Plan, implement, and manage production plans at the factory.
* Research and improve product quality; apply new technology and products according to company direction.
* Cooperate with QMR, ISO committee to improve processes, ensure compliance with ISO 9001:2015 and ISO 14001.
* Review and ensure design standards for production systems equipment.
* Periodically report on production status, labor efficiency, and incidents.
* Manage departments within the factory division.
* Participate in building procedures, internal rules, job descriptions, and recruitment plans.
* Supervise and evaluate the performance of employees.

* Guide, train skills, production processes, and equipment operation.
* Develop and implement occupational safety and health plans in accordance with legal regulations and production conditions.
* Organize occupational safety and health training as required internally and by law.
* Conduct regular and unscheduled checks on fire prevention, occupational safety and health, sanitation of machinery and equipment.
* Establish and control the asset management system, conduct regular inventory.

* Supervise and handle the damage/loss of assets to avoid production disruption.
* Develop and execute asset maintenance and repair plans.
* Periodically report on asset status and anomalies.
* Minimum 5 years of experience in a similar role.
*  Excellent systematic thinking skills.
*  Strong planning, execution, management, supervision, and organizational production skills.

* Knowledge and experience in managing 6 Sigma, Lean, 5S & Kaizen systems, ISO...
* Strong human resource management, communication, negotiation, persuasion, and problem-solving skills.","Thôn Như Lân, Xã Nghĩa Trụ",,phó giám đốc nhà máy (deputy factory director),Manufacturing,Operations,Mid,"['Production Management', 'Quality Management', 'Inventory Management', 'Asset Management', 'Team Leadership', 'Problem Solving']",Bachelor,['Vietnamese'],Full-time,0.9,5.0,
Analog Design Engineer,Trang Văn hóa công ty,"- Designing cutting edge, high performance and reliable analog circuits
- Collaborating with layout team to meet design targets
- Working with Test development, QRA, and Operation for product release
- Bachelor Degree in Electrical Engineering or equivalent
- Strong foundation in electronic circuit design and analysis
- Good problem-solving and debugging skills
- Strong written and verbal communication skills
- Proficient in Vietnamese and English (Read and Write)
- Minimum 3 years of relevant experience (Not explicitly stated, inferred based on ""Experience in one or more of the following areas is a plus"")","5th Floor, CIC Tower building, No. 2 Nguyen Thi Due Street, Yen Hoa Ward, Hanoi",,analog design engineer,Manufacturing,Engineering,Mid,"['Analog Circuit Design', 'Electronics', 'Debugging', 'Problem Solving', 'Communication']",Bachelor,"['English (Read and Write)', 'Vietnamese (Read and Write)']",Full-time,0.9,3.0,
Tuyển Sinh Thạc Sỹ Tài Chính,Chương Trình Thạc Sỹ Tài Chính Từ Đại Học Thương Mại Và Đại Học Jean Moulin Lyon 3,"*  Possession of a Bachelor's degree or equivalent diploma
* Relevant GPA transcripts (with certified English translation)
*  Resume

* Certified English translation of transcripts 


*  English proficiency equivalent to B2 level (optional)",Ha Noi,Hà Nội,tuyển sinh thạc sỹ tài chính,Finance,Finance,Mid,"['Financial Analysis', 'Accounting', 'English']",Master,['English B2'],Unknown,0.8,,
Fullstack .NET Developer,"Panasonic System Networks Vietnam Co., Ltd. (PSNV)","- Analyze business requirements and define software development needs.
- Design solutions, analyzing data, architecting systems, and creating detailed technical specifications.
- Develop web, desktop, and mobile applications using C#, ASP.NET, VB.NET, and Android Studio.
- Implement features by writing code, testing, and building according to the design specifications.
- Experience in software development with C#, ASP.NET, SQL Server, and Android Studio.
- Ability or experience participating in business requirement analysis and solution design processes.
- Proficiency in using MVC, CSS, and HTML5.
- Basic English communication skills (writing or reporting in English).","KCN Thăng Long, Thiên Lộc, Hà Nội",Hà Nội,fullstack .net developer,IT,Software,Mid,"['C#', 'ASP.NET', 'SQL', 'Android Studio', 'MVC', 'HTML5', 'CSS']",Bachelor,"['English B1', 'Vietnamese']",Full-time,0.8,,
Designer Intern,Trang Văn hóa công ty,"- Create designs for social media posts, digital banners, event materials, and presentations.
- Support visual assets for social media marketing campaigns (Facebook, TikTok, Instagram, LinkedIn, YouTube).
- Assist with simple photo editing, video editing, or motion design.
- Collaborate with the Marketing team to turn ideas into visuals.
- Ensure design outputs align with Upzi’s brand identity.
- University student (3rd/4th year) majoring in Design, Multimedia, or related fields.
- Have experience in Design.
- Basic skills in design software (Illustrator, Photoshop, Canva; Premiere/After Effects a plus).",Etown central (HCM office),,designer intern,Marketing,Design,Intern,"['Design', 'Illustrator', 'Photoshop', 'Canva', 'Social Media Marketing']",College,[],Internship,0.95,,
Nhân Viên Kinh Doanh,Information is missed,"• Set work goals according to department head assignments.
• Maintain and develop good relationships with customers.
• Control orders, order forecasts, and customer payments.
• Propose solutions when issues arise with customers or at the factory.
• Computer proficiency with Excel, Words, and PowerPoint.
• Fluency in English.
• Bachelor's degree required.
• 22 to 30 years old.
• Strong presentation skills, responsible, independent worker, customer service-oriented.","Lô N13-14, khu CN Nomura, Hải Phòng",,nhân viên kinh doanh,Retail,Sales,Junior,"['Customer Service', 'Sales', 'Presentation', 'Excel', 'Communication']",Bachelor,['English'],Full-time,0.8,,
Nhân Viên Kinh Doanh,Information is missed,"• Set work goals according to department head assignments.
• Maintain and develop good relationships with customers.
• Control orders, order forecasts, and customer payments.
• Propose solutions when issues arise with customers or at the factory.
• Computer proficiency with Excel, Words, and PowerPoint.
• Fluency in English.
• Bachelor's degree required.
• 22 to 30 years old.
• Strong presentation skills, responsible, independent worker, customer service-oriented.","Lô N13-14, khu CN Nomura, Hải Phòng",,nhân viên kinh doanh,Others,Sales,Junior,"['Sales', 'Communication', 'Teamwork', 'ERP software', 'Market Analysis']",College,['Vietnamese'],Contract,0.7,,
Nhân Viên Kinh Doanh,Information is missed,"• Set work goals according to department head assignments.
• Maintain and develop good relationships with customers.
• Control orders, order forecasts, and customer payments.
• Propose solutions when issues arise with customers or at the factory.
• Computer proficiency with Excel, Words, and PowerPoint.
• Fluency in English.
• Bachelor's degree required.
• 22 to 30 years old.
• Strong presentation skills, responsible, independent worker, customer service-oriented.","Lô N13-14, khu CN Nomura, Hải Phòng",,nhân viên kinh doanh,Marketing,Sales,Junior,"['Advertising', 'Sales', 'Negotiation', 'Time management', 'Teamwork']",College,"['Good English', 'Vietnamese']",Full-time,0.8,,
Business Development Executive/ Manager,Tập Đoàn Vingroup - Công Ty Cổ Phần Vincom Retail,"- 	Tìm kiếm, đánh giá, tiếp cận và tạo dựng mối quan hệ, chào thuê khách hàng tiềm năng trên toàn quốc; phát triển, chăm sóc khách thuê; đánh giá được và nắm được chiến lược, kế hoạch phát triển của từng thương hiệu, từng khách hàng.
	- Tư vấn dự án, đàm phán, ký HĐ thuê với khách hàng.
	- Nghiên cứu thị trường và xu hướng tiêu dùng, đánh giá thị phần, đối thủ cạnh tranh.
	- Phối hợp với QTDA lên phân bổ mặt bằng, ngành hàng, sắp xếp khách thuê cho các dự án mới.
	- Xây dựng kế hoạch kinh doanh và các chương trình hành động kinh doanh để đạt được mục tiêu kinh doanh.
	- Tổ chức, kiểm soát, đánh giá hiệu quả hoạt động cho thuê theo kế hoạch cho thuê.
	- 	Tổ chức phát triển danh mục khách thuê, chăm sóc rà soát phân loại khách thuê.
	- Kiểm soát chất lượng khách thuê đảm bảo tiêu chuẩn Vincom, đúng Quy hoạch thương hiệu và Mặt bằng cho thuê.
	- Kiểm soát chất lượng và tốc độ xử lý công việc (thủ tục cho thuê) của CBNV cấp dưới.
	- Hỗ trợ và phối hợp BQL xử lý các sự vụ khách hàng khó khăn khi kinh doanh.

-  Đại học các chuyên ngành Marketing, Quản trị Kinh doanh, Kinh tế, Tài chính/ Đầu tư hoặc các chuyên ngành có liên quan.
-  2-3 năm kinh nghiệm tại cấp bậc tương đương, vị trí Sales/ Marketing
-  Kinh nghiệm công tác tại các Tập đoàn/Công ty có quy mô lớn hoặc có yếu tố nước ngoài là ưu điểm
-  Kinh nghiệm công tác tại các Tập đoàn/Công ty Bất động sản, Bán lẻ hoặc Thương mại là ưu điểm","Tòa nhà văn phòng Symphony, phố Chu Huy Mân, phường Phúc Lợi; VCC Đồng Khởi, số 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, Hồ Chí Minh",Hồ Chí Minh,business development executive/ manager,Real Estate,Sales,Mid,"['Business Development', 'Sales', 'Marketing', 'Negotiation', 'Market Research']",Bachelor,['Vietnamese'],Full-time,0.95,2.0,3.0
